District wise Ground Water Draft Data of Delhi State (In ham) of Year 2020

District Name,Annual Irrigation Draft,Annual Domestic and Industrial Draft,Total
"Central Delhi","167.090","1483.930","1651.020",
"East Delhi","128.690","1122.480","1251.170",
"New Delhi","477.030","2202.790","2679.820",
"Non Revenue Unit","249.200","44.060","293.260",
"North Delhi","263.360","4713.580","4976.940",
"North East Delhi","105.160","1005.520","1110.680",
"North West Delhi","498.750","1829.420","2328.170",
"Shahdara","239.110","1213.720","1452.830",
"South Delhi","242.240","2678.040","2920.280",
"South East Delhi","242.990","1399.250","1642.240",
"South West Delhi","3911.460","2075.640","5987.100",
"West Delhi","658.550","2080.690","2739.240",
