Date,MaxTemp,MinTemp,sunshine_duration,Rainfall,precipitation_probability_max,wind_speed_10m_max,Evapotranspiration,SoilMoisture_NASA,GW_Extraction_Rate,GW_Availability,Land_Forest_Cover,Land_BuiltUp_Area,Land_Fallow,SoilMoisture_Actual,AvgTemp
2021-03-24,33.1,22.3,41320.1,0.0,0,22.3,6.89,,100.7695183,2414.96,0.68,62.59,5.44,,27.700000000000003
2021-03-25,33.1,21.9,41423.17,0.0,0,18.8,8.28,,100.7695183,2414.96,0.68,62.59,5.44,,27.5
2021-03-26,34.2,21.8,41525.67,0.0,0,17.2,7.7,,100.7695183,2414.96,0.68,62.59,5.44,,28.0
2021-03-27,36.0,23.4,41627.54,0.0,0,10.2,6.45,,100.7695183,2414.96,0.68,62.59,5.44,,29.7
2021-03-28,37.4,25.3,41728.68,0.0,0,6.8,5.93,,100.7695183,2414.96,0.68,62.59,5.44,,31.35
2021-03-29,40.5,26.5,41829.03,0.0,0,26.1,8.16,,100.7695183,2414.96,0.68,62.59,5.44,,33.5
2021-03-30,38.0,27.7,41929.05,0.0,0,28.9,9.57,,100.7695183,2414.96,0.68,62.59,5.44,,32.85
2021-03-31,36.7,25.1,42029.2,0.0,0,26.0,11.44,,100.7695183,2414.96,0.68,62.59,5.44,,30.900000000000002
2021-04-01,35.7,22.6,42129.4,0.0,0,26.4,11.07,,100.7695183,2414.96,0.68,62.59,5.44,,29.150000000000002
2021-04-02,35.3,23.2,42229.58,0.0,0,18.2,8.13,,100.7695183,2414.96,0.68,62.59,5.44,,29.25
2021-04-03,35.0,22.6,42329.7,0.0,0,14.4,7.05,,100.7695183,2414.96,0.68,62.59,5.44,,28.8
2021-04-04,37.2,23.9,42429.66,0.0,0,17.0,7.62,,100.7695183,2414.96,0.68,62.59,5.44,,30.55
2021-04-05,38.9,27.4,42505.36,0.0,0,11.8,6.86,,100.7695183,2414.96,0.68,62.59,5.44,,33.15
2021-04-06,38.8,28.0,42537.59,0.0,0,18.6,8.56,,100.7695183,2414.96,0.68,62.59,5.44,,33.4
2021-04-07,37.0,26.0,42569.78,0.0,0,16.1,8.54,,100.7695183,2414.96,0.68,62.59,5.44,,31.5
