time,temperature_2m_max,temperature_2m_min,sunshine_duration,rain_sum,precipitation_probability_max,wind_speed_10m_max,et0_fao_evapotranspiration
24-03-2021,33.1,22.3,41320.1,0,0,22.3,6.89
25-03-2021,33.1,21.9,41423.17,0,0,18.8,8.28
26-03-2021,34.2,21.8,41525.67,0,0,17.2,7.7
27-03-2021,36,23.4,41627.54,0,0,10.2,6.45
28-03-2021,37.4,25.3,41728.68,0,0,6.8,5.93
29-03-2021,40.5,26.5,41829.03,0,0,26.1,8.16
30-03-2021,38,27.7,41929.05,0,0,28.9,9.57
31-03-2021,36.7,25.1,42029.2,0,0,26,11.44
01-04-2021,35.7,22.6,42129.4,0,0,26.4,11.07
02-04-2021,35.3,23.2,42229.58,0,0,18.2,8.13
03-04-2021,35,22.6,42329.7,0,0,14.4,7.05
04-04-2021,37.2,23.9,42429.66,0,0,17,7.62
05-04-2021,38.9,27.4,42505.36,0,0,11.8,6.86
06-04-2021,38.8,28,42537.59,0,0,18.6,8.56
07-04-2021,37,26,42569.78,0,0,16.1,8.54
08-04-2021,35.5,25.2,42601.93,0,0,17,8.4
09-04-2021,36.2,25.3,42634.07,0,0,13.1,8.18
10-04-2021,37,26.1,42666.22,0,0,14.2,8.05
11-04-2021,38,27.4,42698.39,0,0,11.4,7.88
12-04-2021,38.9,28.4,42730.59,0,0,16.4,7.83
13-04-2021,39.5,29.2,42762.85,0,0,21.4,8.9
14-04-2021,39.6,29.5,42822.24,0,0,17,8.87
15-04-2021,39.4,30.1,42849.91,0,0,16.4,8.87
16-04-2021,40.1,29.7,37087.34,0,0,34.4,8.48
17-04-2021,36.2,27,42902.92,0,0,22.7,8.76
18-04-2021,36.6,26,42928.52,0,0,18.8,8.33
19-04-2021,38.1,28,43028.39,0,0,18.4,8.65
20-04-2021,37.5,27.8,37556.61,0,0,36.4,7.42
21-04-2021,33.7,26.2,43083.56,0.1,0,21.3,8.26
22-04-2021,33.6,24.6,43279.3,0.1,0,16.4,6.84
23-04-2021,36.5,26,43223.97,0,0,20,8.83
24-04-2021,34.7,24,43433.33,0,0,21.9,8.88
25-04-2021,37.6,25.9,43466.95,0,0,15.3,9.4
26-04-2021,39.8,28.3,43595.63,0,0,13,8.33
27-04-2021,41.7,30.5,43606.08,0,0,18,8.29
28-04-2021,42.7,32,43606.73,0,0,16.2,9.45
29-04-2021,42.4,32.6,43709.81,0,0,21.7,9.41
30-04-2021,41.7,31.9,41608.69,0,0,23.7,9.29
01-05-2021,40.5,30.9,43819.99,0.1,0,29.8,9.08
02-05-2021,39.8,31,43932.07,0,0,21.7,8.2
03-05-2021,39.4,29.2,38395.57,0.45,0,23.2,8.64
04-05-2021,40.7,32,43826.09,0.1,0,14.4,8.54
05-05-2021,40,30.5,43942.27,0,0,30.3,9.15
06-05-2021,39.6,29.5,44061.45,0,0,21.1,8.94
07-05-2021,37.1,27.8,36864.96,6.65,0,44.3,7.35
08-05-2021,38.1,27.6,44188.08,0.1,0,19.7,7.59
