Sl. No,District,Assessment Unit Name,Annual Extractable Ground Water Resource (Ham),Total Extraction (Ham),Stage of Ground Water Extraction (%)
1,Central,Civil Lines,1420.91,970.53,68.3
2,Central,Karol Bagh,150.11,171.83,114.47
3,Central,Kotwali,635.33,598.6,94.22
4,East,Gandhi Nagar,79.5,72.7,91.45
5,East,Mayur Vihar,719.03,711.15,98.9
6,East,Preet Vihar,673.88,609.06,90.38
7,Nazul Land,Nazul Land,458.9,314.04,68.43
8,New Delhi,Chanakyapuri,535.32,703.67,131.45
9,New Delhi,Delhi Cantonment,1023.75,1281.58,125.18
10,New Delhi,Vasant Vihar,1062.67,1627.27,153.13
11,North,Alipur,1806.39,1615.52,89.43
12,North,Model Town,535.83,518.62,96.79
13,North,Narela,1865.92,2458.85,131.78
14,North East,Karawal Nagar,610.64,694.88,113.8
15,North East,Seelampur,724.34,616.84,85.16
16,North East,Yamuna Vihar,262.73,378.66,144.13
17,North West,Kanjhawala,843.29,574.14,68.08
18,North West,Rohini,2126.74,1299.64,61.11
19,North West,Saraswati Vihar,484.13,404.52,83.56
20,Shahdara,Seemapuri,494.85,490.58,99.14
21,Shahdara,Shahdara,375,448.78,119.67
22,Shahdara,Vivek Vihar,577.45,729.74,126.37
23,South,Hauz Khas,972.53,970.78,99.82
24,South,Mehrauli,1103.45,1300.99,117.9
25,South,Saket,1951.04,2269.33,116.31
26,South East,Defence Colony,879.03,864.77,98.38
27,South East,Kalkaji,915.8,875.52,95.6
28,South East,Sarita Vihar,568.55,567.97,99.9
29,South West,Dwarka,2279.6,2275.66,99.83
30,South West,Kapashera,2170.39,2488.16,114.64
31,South West,Najafgarh,2494.49,1735.59,69.58
32,West,Patel Nagar,1445.87,1395.77,96.53
33,West,Punjabi Bagh,1679.31,1484.3,88.39
34,West,Rajouri Garden,522.46,630.51,120.68
Grand Total,Grand Total,Grand Total,34449.23,34150.55,99.13
