-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETTOP     MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,1984,27.0,75.625,0.15,0.13,0.11,0.09,0.08,0.16,0.44,0.43,0.48,0.32,0.16,0.11,0.22
GWETTOP,1984,27.0,76.25,0.19,0.15,0.12,0.11,0.11,0.18,0.5,0.49,0.56,0.36,0.15,0.12,0.25
GWETTOP,1984,27.0,76.875,0.26,0.15,0.11,0.1,0.11,0.15,0.42,0.45,0.59,0.38,0.29,0.15,0.26
GWETTOP,1984,27.0,77.5,0.33,0.21,0.11,0.11,0.11,0.13,0.41,0.48,0.69,0.43,0.35,0.26,0.3
GWETTOP,1984,27.0,78.125,0.34,0.26,0.12,0.1,0.11,0.14,0.41,0.49,0.72,0.44,0.35,0.28,0.31
GWETTOP,1984,27.5,75.625,0.15,0.14,0.12,0.1,0.09,0.15,0.43,0.42,0.46,0.33,0.19,0.12,0.23
GWETTOP,1984,27.5,76.25,0.18,0.16,0.14,0.13,0.12,0.18,0.5,0.49,0.57,0.39,0.17,0.13,0.26
GWETTOP,1984,27.5,76.875,0.21,0.15,0.12,0.13,0.12,0.15,0.41,0.45,0.61,0.39,0.29,0.16,0.27
GWETTOP,1984,27.5,77.5,0.28,0.17,0.11,0.12,0.12,0.13,0.4,0.46,0.68,0.42,0.34,0.23,0.29
GWETTOP,1984,27.5,78.125,0.32,0.19,0.11,0.11,0.11,0.15,0.41,0.47,0.7,0.44,0.34,0.22,0.3
GWETTOP,1984,28.0,75.625,0.14,0.14,0.1,0.09,0.07,0.12,0.33,0.35,0.4,0.25,0.17,0.13,0.19
GWETTOP,1984,28.0,76.25,0.18,0.18,0.15,0.14,0.12,0.17,0.45,0.47,0.57,0.4,0.19,0.13,0.26
GWETTOP,1984,28.0,76.875,0.2,0.18,0.14,0.15,0.13,0.17,0.43,0.48,0.66,0.44,0.28,0.18,0.29
