-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1984,27.0,75.625,13.26,14.71,25.43,30.14,35.04,35.81,31.18,30.1,27.25,24.4,20.41,16.22,25.35
T2M,1984,27.0,76.25,13.49,15.25,25.89,30.62,35.82,36.46,31.24,30.05,27.19,24.56,20.74,16.46,25.67
T2M,1984,27.0,76.875,13.67,15.84,26.55,31.25,36.89,37.77,32.36,30.71,27.28,24.71,20.48,16.8,26.22
T2M,1984,27.0,77.5,13.77,15.83,26.55,31.52,37.08,38.41,32.77,30.75,26.85,24.27,20.17,16.44,26.22
T2M,1984,27.0,78.125,14.08,15.98,26.55,31.87,37.06,38.48,32.86,30.73,26.78,24.22,20.37,16.56,26.32
T2M,1984,27.5,75.625,12.33,13.94,24.86,29.58,34.67,35.48,31.01,30.15,27.01,23.73,19.83,15.33,24.85
T2M,1984,27.5,76.25,12.68,14.45,25.23,30.0,35.47,36.23,31.11,30.11,26.82,23.76,20.27,15.67,25.17
T2M,1984,27.5,76.875,13.53,15.43,26.19,30.95,36.85,37.99,32.72,31.3,27.18,24.27,20.3,16.41,26.12
T2M,1984,27.5,77.5,13.71,15.66,26.23,31.35,36.93,38.7,33.25,31.56,26.92,24.08,20.14,16.26,26.26
T2M,1984,27.5,78.125,13.83,15.95,26.17,31.6,36.79,38.39,33.13,31.33,26.6,23.92,20.14,16.51,26.22
T2M,1984,28.0,75.625,12.23,14.02,25.1,29.95,35.31,36.31,32.37,31.2,27.72,24.27,20.0,15.11,25.33
T2M,1984,28.0,76.25,12.61,14.36,25.23,30.21,35.87,36.98,32.28,31.04,27.22,23.8,20.23,15.44,25.46
T2M,1984,28.0,76.875,13.14,14.86,25.54,30.57,36.35,37.83,32.93,31.43,26.88,23.72,19.97,15.81,25.78
T2M,1984,28.0,77.5,13.49,15.35,25.84,31.06,36.57,38.38,33.4,31.82,26.63,23.82,19.89,15.99,26.05
T2M,1984,28.0,78.125,13.53,15.48,25.86,31.33,36.66,37.98,33.13,31.67,26.28,23.57,19.77,16.15,25.98
T2M,1984,28.5,75.625,12.43,14.22,25.22,30.41,35.89,37.26,33.87,32.32,28.35,24.71,20.28,15.08,25.86
T2M,1984,28.5,76.25,12.64,14.33,25.14,30.41,36.13,37.63,33.52,31.81,27.47,23.99,20.26,15.36,25.75
T2M,1984,28.5,76.875,12.92,14.6,25.17,30.42,36.16,37.85,33.51,31.64,26.58,23.44,19.6,15.39,25.63
T2M,1984,28.5,77.5,13.35,15.13,25.5,30.77,36.33,37.96,33.39,31.69,26.18,23.4,19.51,15.75,25.77
T2M,1984,28.5,78.125,13.37,15.23,25.54,31.12,36.5,37.5,33.05,31.73,25.95,23.36,19.46,15.97,25.76
T2M,1984,29.0,75.625,12.35,14.0,24.91,30.47,36.06,37.66,34.3,32.55,28.11,24.34,20.13,14.88,25.84
T2M,1984,29.0,76.25,12.48,14.07,24.82,30.36,36.16,37.72,33.85,31.86,27.11,23.61,19.86,15.13,25.61
T2M,1984,29.0,76.875,12.82,14.44,24.93,30.33,36.17,37.73,33.68,31.6,26.28,23.25,19.3,15.12,25.5
T2M,1984,29.0,77.5,13.27,14.97,25.18,30.55,36.14,37.48,33.08,31.21,25.8,22.97,19.17,15.45,25.47
T2M,1984,29.0,78.125,13.28,15.1,25.11,30.86,36.18,36.86,32.7,31.31,25.72,23.12,19.19,15.56,25.44
T2M,1984,29.5,75.625,12.18,13.7,24.47,30.34,36.21,37.82,34.2,32.29,27.69,24.18,19.88,14.62,25.66
T2M,1984,29.5,76.25,12.33,13.87,24.43,30.18,36.17,37.6,33.86,31.69,27.0,23.7,19.42,14.83,25.45
