-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETROOT     MERRA-2 Root Zone Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETROOT,1984,27.0,75.625,0.37,0.37,0.37,0.37,0.37,0.37,0.45,0.44,0.49,0.4,0.37,0.37,0.4
GWETROOT,1984,27.0,76.25,0.44,0.44,0.44,0.44,0.44,0.44,0.52,0.51,0.59,0.47,0.44,0.44,0.47
GWETROOT,1984,27.0,76.875,0.36,0.35,0.34,0.34,0.34,0.35,0.44,0.47,0.6,0.44,0.37,0.35,0.4
GWETROOT,1984,27.0,77.5,0.36,0.33,0.33,0.33,0.33,0.33,0.43,0.49,0.67,0.47,0.38,0.34,0.4
GWETROOT,1984,27.0,78.125,0.37,0.34,0.33,0.33,0.33,0.33,0.43,0.49,0.69,0.48,0.38,0.34,0.4
GWETROOT,1984,27.5,75.625,0.36,0.35,0.35,0.35,0.35,0.35,0.44,0.43,0.47,0.4,0.36,0.35,0.38
GWETROOT,1984,27.5,76.25,0.44,0.44,0.44,0.44,0.44,0.44,0.52,0.51,0.59,0.48,0.44,0.44,0.47
GWETROOT,1984,27.5,76.875,0.36,0.35,0.35,0.35,0.35,0.35,0.43,0.46,0.61,0.45,0.38,0.35,0.4
GWETROOT,1984,27.5,77.5,0.34,0.33,0.33,0.33,0.33,0.33,0.41,0.46,0.65,0.46,0.37,0.34,0.39
GWETROOT,1984,27.5,78.125,0.35,0.33,0.33,0.33,0.33,0.33,0.4,0.45,0.66,0.45,0.37,0.33,0.39
GWETROOT,1984,28.0,75.625,0.25,0.25,0.25,0.24,0.24,0.24,0.32,0.32,0.37,0.31,0.27,0.26,0.28
GWETROOT,1984,28.0,76.25,0.41,0.41,0.41,0.4,0.4,0.41,0.47,0.48,0.58,0.46,0.41,0.41,0.44
GWETROOT,1984,28.0,76.875,0.39,0.39,0.39,0.39,0.39,0.39,0.45,0.49,0.66,0.49,0.41,0.39,0.44
GWETROOT,1984,28.0,77.5,0.34,0.33,0.33,0.33,0.33,0.33,0.4,0.45,0.66,0.46,0.37,0.34,0.39
GWETROOT,1984,28.0,78.125,0.36,0.33,0.33,0.33,0.33,0.33,0.39,0.45,0.69,0.47,0.37,0.34,0.39
GWETROOT,1984,28.5,75.625,0.2,0.2,0.19,0.18,0.17,0.17,0.22,0.25,0.31,0.26,0.23,0.21,0.22
GWETROOT,1984,28.5,76.25,0.33,0.33,0.32,0.32,0.32,0.32,0.37,0.4,0.51,0.4,0.34,0.34,0.36
GWETROOT,1984,28.5,76.875,0.36,0.36,0.36,0.36,0.36,0.36,0.41,0.47,0.66,0.48,0.4,0.37,0.41
GWETROOT,1984,28.5,77.5,0.33,0.33,0.33,0.34,0.33,0.33,0.39,0.46,0.69,0.47,0.38,0.34,0.39
GWETROOT,1984,28.5,78.125,0.36,0.34,0.33,0.33,0.33,0.34,0.4,0.46,0.71,0.48,0.38,0.34,0.4
GWETROOT,1984,29.0,75.625,0.34,0.34,0.33,0.33,0.32,0.32,0.36,0.38,0.47,0.39,0.36,0.35,0.36
GWETROOT,1984,29.0,76.25,0.4,0.4,0.4,0.4,0.4,0.4,0.44,0.48,0.6,0.47,0.41,0.4,0.43
GWETROOT,1984,29.0,76.875,0.34,0.34,0.34,0.35,0.34,0.34,0.4,0.47,0.67,0.47,0.39,0.35,0.4
GWETROOT,1984,29.0,77.5,0.33,0.33,0.33,0.34,0.33,0.34,0.4,0.48,0.72,0.49,0.39,0.34,0.4
GWETROOT,1984,29.0,78.125,0.37,0.34,0.33,0.33,0.33,0.34,0.41,0.48,0.73,0.5,0.39,0.35,0.41
GWETROOT,1984,29.5,75.625,0.44,0.44,0.44,0.43,0.43,0.44,0.47,0.49,0.56,0.47,0.44,0.43,0.46
