_id,Sl. No,Name of District,Monsoon season recharge from rainfall,Monsoon season recharge from other sources,Non-monsoon season recharge from rainfall,Non-monsoon season recharge from other sources,Total annual groundwater recharge,Total Natural Discharges,Annual Extractable Groundwater Resource,Annual extraction - Irrigation,Annual extraction - Industrial,Annual Extraction - Domestic,Total Annual Extraction,Annual GW Allocation for domestic use (2025),Net GW availability for future,Stage of GW extraction (%)
1,1,Central,248,704.6,105.61,1393.29,2451.5,245.15,2206.35,244.79,0,1496.18,1740.96,2087.35,487.11,78.91
2,2,East,84.21,508.93,41.13,1001.76,1636.03,163.62,1472.41,110.55,0.2,1282.15,1392.91,1439.42,79.5,94.6
3,3,Nazul Land,224.11,65.89,109.46,110.43,509.89,50.99,458.9,228,0,86.04,314.04,86.04,144.86,68.43
4,4,New Delhi,660.52,653.9,353.23,1245.39,2913.04,291.3,2621.74,686.87,2.2,2923.44,3612.52,2923.45,0,137.79
5,5,North,1629.66,819.07,636.08,1590.9,4675.71,467.57,4208.14,489.77,50.31,4052.92,4592.99,4084.62,208.08,109.15
6,6,North East,98.6,546.49,46.38,1083.76,1775.23,177.52,1597.71,176.76,0,1513.62,1690.38,1513.62,107.5,105.8
7,7,North West,794.88,858.02,358.56,1702.12,3713.58,259.42,3454.16,499,0.56,1778.74,2278.3,2378.75,1175.86,65.96
8,8,Shahdara,78.31,505.77,36.03,988,1608.11,160.81,1447.3,338.61,0.5,1330,1669.1,1375.51,4.27,115.33
9,9,South,732.45,1132.75,402.33,2206.93,4474.46,447.44,4027.02,733.13,0,3807.97,4541.1,3807.97,1.75,112.77
10,10,South East,401.17,676.31,220.36,1328.14,2625.98,262.6,2363.38,220.17,12.74,2075.35,2308.26,2075.35,55.12,97.67
11,11,South West,2270.74,1573.09,988.66,2883.6,7716.09,771.61,6944.48,4002.81,0,2496.6,6499.41,3020.21,360.84,93.59
12,12,West,1067.65,870.1,416.57,1698.61,4052.93,405.29,3647.64,731.98,0.6,2778,3510.58,2778,245.11,96.24
13,,Total(Ham),8290.3,8914.92,3714.4,17232.93,38152.55,3703.32,34449.23,8462.44,67.11,25621.01,34150.55,27570.29,2870,99.13
14,,Total (Bcm),0.08,0.09,0.04,0.17,0.38,0.04,0.34,0.08,0.0007,0.26,0.34,0.28,0.03,99.13
