Sl. No,District,Unit_Name,Extractable_Resource,Total_Extraction,Extraction_Stage_Pct,District_Norm,District_Total_Recharge,District_Total_Extractable,District_Total_Extraction,District_Irrigation,District_Domestic,District_Industrial,District_Avg_Stage,District_Net_GW_Future,District_Extraction_Ratio,District_Irrigation_Share,District_Domestic_Share,District_Sustainability,unit_extraction_efficiency,unit_share_of_district_extraction,unit_share_of_district_resource,extraction_vs_district_avg,overextraction_indicator,unit_resource_size,unit_extraction_size
1,Central,Civil Lines,1420.91,970.53,68.3,central,2463.12,2216.808,1795.89,248.57,1547.32,0.0,81.01242868,450.71,0.7291118581311508,0.1384104817110179,0.861589518288982,0.18298337068433532,0.6830341119423468,0.5404172861366787,0.6409711621394366,-12.712428680000002,0,1420.91,970.53
2,Central,Karol Bagh,150.11,171.83,114.47,central,2463.12,2216.808,1795.89,248.57,1547.32,0.0,81.01242868,450.71,0.7291118581311508,0.1384104817110179,0.861589518288982,0.18298337068433532,1.1446938911464926,0.09567957948426685,0.0677144795579951,33.45757132,1,150.11,171.83
3,Central,Kotwali,635.33,598.6,94.22,central,2463.12,2216.808,1795.89,248.57,1547.32,0.0,81.01242868,450.71,0.7291118581311508,0.1384104817110179,0.861589518288982,0.18298337068433532,0.9421875245935183,0.3333166285240187,0.28659676435667863,13.20757132,0,635.33,598.6
4,East,Gandhi Nagar,79.5,72.7,91.45,east,1659.8,1493.82,1468.03,118.99,1348.84,0.2,98.27355371,36.86,0.8844619833714905,0.08105420188960716,0.9188095611125113,0.02220749487890107,0.9144654088050315,0.04952214872993059,0.053219263365064065,-6.823553709999999,0,79.5,72.7
5,East,Mayur Vihar,719.03,711.15,98.9,east,1659.8,1493.82,1468.03,118.99,1348.84,0.2,98.27355371,36.86,0.8844619833714905,0.08105420188960716,0.9188095611125113,0.02220749487890107,0.9890407910657414,0.48442470521719583,0.4813364394639247,0.6264462900000041,0,719.03,711.15
6,East,Preet Vihar,673.88,609.06,90.38,east,1659.8,1493.82,1468.03,118.99,1348.84,0.2,98.27355371,36.86,0.8844619833714905,0.08105420188960716,0.9188095611125113,0.02220749487890107,0.9038107674956964,0.41488252964857664,0.45111191442074683,-7.893553710000006,0,673.88,609.06
7,Nazul Land,Nazul Land,458.9,314.04,68.43,nazul land,554.24,498.816,319.07,232.8,86.27,0.0,63.96547023,179.75,0.5756892321016166,0.7296204594603065,0.2703795405396935,0.32431798498845266,0.6843320984964045,0.9842354342307331,0.9199785091095715,4.464529770000006,0,458.9,314.04
8,New Delhi,Chanakyapuri,535.32,703.67,131.45,new,3022.42,2720.178,3673.73,686.86,2984.67,2.2,135.0547648,0.0,1.215492883186321,0.1869652914068263,0.8124358621891102,0.0,1.3144847941418216,0.1915410223396929,0.19679594497124822,-3.604764799999998,1,535.32,703.67
9,New Delhi,Delhi Cantonment,1023.75,1281.58,125.18,new,3022.42,2720.178,3673.73,686.86,2984.67,2.2,135.0547648,0.0,1.215492883186321,0.1869652914068263,0.8124358621891102,0.0,1.2518485958485959,0.3488498065998318,0.3763540474189557,-9.87476479999998,1,1023.75,1281.58
10,New Delhi,Vasant Vihar,1062.67,1627.27,153.13,new,3022.42,2720.178,3673.73,686.86,2984.67,2.2,135.0547648,0.0,1.215492883186321,0.1869652914068263,0.8124358621891102,0.0,1.531303226777833,0.44294763088196465,0.390661934623396,18.07523520000001,1,1062.67,1627.27
